skill,level
Python Programming,J
Python Programming,M
Python Programming,S
Python Programming,E
SQL,J
SQL,M
SQL,S
SQL,E
Data Cleaning,J
Data Cleaning,M
Data Cleaning,S
Data Cleaning,E
Exploratory Data Analysis (EDA),J
Exploratory Data Analysis (EDA),M
Exploratory Data Analysis (EDA),S
Exploratory Data Analysis (EDA),E
Data Manipulation,J
Data Manipulation,M
Data Manipulation,S
Data Manipulation,E
Excel,J
Excel,M
Excel,S
Excel,E
Data Mining,J
Data Mining,M
Data Mining,S
Data Mining,E
Basic Statistics,J
Basic Statistics,M
Basic Statistics,S
Basic Statistics,E
Data Preprocessing,J
Data Preprocessing,M
Data Preprocessing,S
Data Preprocessing,E
Research Skills,J
Research Skills,M
Research Skills,S
Research Skills,E
